


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      938.3722 | Layer 1 | Epoch 1  |
|           100 |      330.9745 | Layer 1 | Epoch 1  |
|           200 |      224.7174 | Layer 1 | Epoch 1  |
|           300 |      203.9675 | Layer 1 | Epoch 1  |
|           400 |      185.7818 | Layer 1 | Epoch 1  |
|           500 |      186.7286 | Layer 1 | Epoch 1  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      179.4446 | Layer 1 | Epoch 2  |
|             0 |     2555.5281 | Layer 2 | Epoch 2  |
|           100 |      177.0265 | Layer 1 | Epoch 2  |
|           100 |     1405.6740 | Layer 2 | Epoch 2  |
|           200 |      181.1516 | Layer 1 | Epoch 2  |
|           200 |     1322.4236 | Layer 2 | Epoch 2  |
|           300 |      169.0848 | Layer 1 | Epoch 2  |
|           300 |     1315.9622 | Layer 2 | Epoch 2  |
|           400 |      168.1419 | Layer 1 | Epoch 2  |
|           400 |     1317.4109 | Layer 2 | Epoch 2  |
|           500 |      175.9397 | Layer 1 | Epoch 2  |
|           500 |     1308.3896 | Layer 2 | Epoch 2  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      164.6274 | Layer 1 | Epoch 3  |
|             0 |     2472.8042 | Layer 2 | Epoch 3  |
|           100 |      170.3000 | Layer 1 | Epoch 3  |
|           100 |     1396.1521 | Layer 2 | Epoch 3  |
|           200 |      176.2930 | Layer 1 | Epoch 3  |
|           200 |     1322.7971 | Layer 2 | Epoch 3  |
|           300 |      170.1182 | Layer 1 | Epoch 3  |
|           300 |     1312.6411 | Layer 2 | Epoch 3  |
|           400 |      164.7089 | Layer 1 | Epoch 3  |
|           400 |     1311.2300 | Layer 2 | Epoch 3  |
|           500 |      161.2321 | Layer 1 | Epoch 3  |
|           500 |     1311.4414 | Layer 2 | Epoch 3  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      166.4808 | Layer 1 | Epoch 4  |
|             0 |     2524.3560 | Layer 2 | Epoch 4  |
|           100 |      166.1334 | Layer 1 | Epoch 4  |
|           100 |     1397.3695 | Layer 2 | Epoch 4  |
|           200 |      167.4021 | Layer 1 | Epoch 4  |
|           200 |     1317.4617 | Layer 2 | Epoch 4  |
|           300 |      158.9434 | Layer 1 | Epoch 4  |
|           300 |     1308.6360 | Layer 2 | Epoch 4  |
|           400 |      165.3831 | Layer 1 | Epoch 4  |
|           400 |     1304.6985 | Layer 2 | Epoch 4  |
|           500 |      166.3874 | Layer 1 | Epoch 4  |
|           500 |     1304.2776 | Layer 2 | Epoch 4  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      170.3968 | Layer 1 | Epoch 5  |
|             0 |     2498.8647 | Layer 2 | Epoch 5  |
|           100 |      170.1932 | Layer 1 | Epoch 5  |
|           100 |     1393.5381 | Layer 2 | Epoch 5  |
|           200 |      171.7608 | Layer 1 | Epoch 5  |
|           200 |     1314.8527 | Layer 2 | Epoch 5  |
|           300 |      158.5160 | Layer 1 | Epoch 5  |
|           300 |     1310.5654 | Layer 2 | Epoch 5  |
|           400 |      164.9848 | Layer 1 | Epoch 5  |
|           400 |     1303.7791 | Layer 2 | Epoch 5  |
|           500 |      166.9086 | Layer 1 | Epoch 5  |
|           500 |     1295.3304 | Layer 2 | Epoch 5  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      163.0830 | Layer 1 | Epoch 6  |
|             0 |     2559.7666 | Layer 2 | Epoch 6  |
|           100 |      160.4732 | Layer 1 | Epoch 6  |
|           100 |     1394.2723 | Layer 2 | Epoch 6  |
|           200 |      159.1079 | Layer 1 | Epoch 6  |
|           200 |     1313.2844 | Layer 2 | Epoch 6  |
|           300 |      162.1884 | Layer 1 | Epoch 6  |
|           300 |     1302.8781 | Layer 2 | Epoch 6  |
|           400 |      163.0795 | Layer 1 | Epoch 6  |
|           400 |     1300.9681 | Layer 2 | Epoch 6  |
|           500 |      161.4230 | Layer 1 | Epoch 6  |
|           500 |     1295.3317 | Layer 2 | Epoch 6  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      171.7162 | Layer 1 | Epoch 7  |
|             0 |     2564.5815 | Layer 2 | Epoch 7  |
|           100 |      158.5515 | Layer 1 | Epoch 7  |
|           100 |     1390.7610 | Layer 2 | Epoch 7  |
|           200 |      156.2950 | Layer 1 | Epoch 7  |
|           200 |     1313.1882 | Layer 2 | Epoch 7  |
|           300 |      158.1759 | Layer 1 | Epoch 7  |
|           300 |     1298.4297 | Layer 2 | Epoch 7  |
|           400 |      160.3966 | Layer 1 | Epoch 7  |
|           400 |     1295.9509 | Layer 2 | Epoch 7  |
|           500 |      156.7087 | Layer 1 | Epoch 7  |
|           500 |     1293.1013 | Layer 2 | Epoch 7  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      151.0084 | Layer 1 | Epoch 8  |
|             0 |     2532.5464 | Layer 2 | Epoch 8  |
|           100 |      148.9976 | Layer 1 | Epoch 8  |
|           100 |     1396.4548 | Layer 2 | Epoch 8  |
|           200 |      154.2894 | Layer 1 | Epoch 8  |
|           200 |     1312.9360 | Layer 2 | Epoch 8  |
|           300 |      157.8375 | Layer 1 | Epoch 8  |
|           300 |     1299.7296 | Layer 2 | Epoch 8  |
|           400 |      153.0398 | Layer 1 | Epoch 8  |
|           400 |     1289.4360 | Layer 2 | Epoch 8  |
|           500 |      152.6996 | Layer 1 | Epoch 8  |
|           500 |     1292.8325 | Layer 2 | Epoch 8  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      145.1772 | Layer 1 | Epoch 9  |
|             0 |     2459.0730 | Layer 2 | Epoch 9  |
|           100 |      157.4856 | Layer 1 | Epoch 9  |
|           100 |     1383.5515 | Layer 2 | Epoch 9  |
|           200 |      161.4952 | Layer 1 | Epoch 9  |
|           200 |     1304.9498 | Layer 2 | Epoch 9  |
|           300 |      152.0404 | Layer 1 | Epoch 9  |
|           300 |     1295.9816 | Layer 2 | Epoch 9  |
|           400 |      155.9988 | Layer 1 | Epoch 9  |
|           400 |     1292.4860 | Layer 2 | Epoch 9  |
|           500 |      158.7581 | Layer 1 | Epoch 9  |
|           500 |     1280.9717 | Layer 2 | Epoch 9  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      150.9412 | Layer 1 | Epoch 10  |
|             0 |     2523.4817 | Layer 2 | Epoch 10  |
|           100 |      151.7683 | Layer 1 | Epoch 10  |
|           100 |     1383.7961 | Layer 2 | Epoch 10  |
|           200 |      150.8066 | Layer 1 | Epoch 10  |
|           200 |     1306.7947 | Layer 2 | Epoch 10  |
|           300 |      149.4422 | Layer 1 | Epoch 10  |
|           300 |     1294.2612 | Layer 2 | Epoch 10  |
|           400 |      154.4178 | Layer 1 | Epoch 10  |
|           400 |     1286.9871 | Layer 2 | Epoch 10  |
|           500 |      156.7298 | Layer 1 | Epoch 10  |
|           500 |     1282.8522 | Layer 2 | Epoch 10  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      152.4011 | Layer 1 | Epoch 11  |
|             0 |     2489.7451 | Layer 2 | Epoch 11  |
|           100 |      158.9847 | Layer 1 | Epoch 11  |
|           100 |     1378.6115 | Layer 2 | Epoch 11  |
|           200 |      151.7198 | Layer 1 | Epoch 11  |
|           200 |     1297.5308 | Layer 2 | Epoch 11  |
