


| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      924.8542 | Layer 1 | Epoch 1  |
|           100 |      330.8988 | Layer 1 | Epoch 1  |
|           200 |      223.9281 | Layer 1 | Epoch 1  |
|           300 |      202.5122 | Layer 1 | Epoch 1  |
|           400 |      183.0509 | Layer 1 | Epoch 1  |
|           500 |      184.4747 | Layer 1 | Epoch 1  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      175.2184 | Layer 1 | Epoch 2  |
|             0 |     2565.4797 | Layer 2 | Epoch 2  |
|           100 |      175.6750 | Layer 1 | Epoch 2  |
|           100 |     1405.1943 | Layer 2 | Epoch 2  |
|           200 |      176.0777 | Layer 1 | Epoch 2  |
|           200 |     1327.5870 | Layer 2 | Epoch 2  |
|           300 |      169.6274 | Layer 1 | Epoch 2  |
|           300 |     1316.0100 | Layer 2 | Epoch 2  |
|           400 |      173.6143 | Layer 1 | Epoch 2  |
|           400 |     1311.2192 | Layer 2 | Epoch 2  |
|           500 |      174.2019 | Layer 1 | Epoch 2  |
|           500 |     1305.1311 | Layer 2 | Epoch 2  |



| Training Step | Cross Entropy |  Layer  |   Epoch  |
|---------------|---------------|---------|----------|
|             0 |      164.5945 | Layer 1 | Epoch 3  |
|             0 |     2526.4543 | Layer 2 | Epoch 3  |
|           100 |      169.4013 | Layer 1 | Epoch 3  |
|           100 |     1397.5410 | Layer 2 | Epoch 3  |
|           200 |      171.4254 | Layer 1 | Epoch 3  |
|           200 |     1319.5487 | Layer 2 | Epoch 3  |
|           300 |      167.1371 | Layer 1 | Epoch 3  |
|           300 |     1304.5573 | Layer 2 | Epoch 3  |
|           400 |      164.9913 | Layer 1 | Epoch 3  |
|           400 |     1310.4456 | Layer 2 | Epoch 3  |
|           500 |      171.5735 | Layer 1 | Epoch 3  |
|           500 |     1306.7073 | Layer 2 | Epoch 3  |



